archivo,categoria_editorial,uso_recomendado,prioridad,comentario
best_epoch_success_barras.png,esencial,figura principal de resultados,alta,"Comunica el hallazgo central: mejor success medio en EXP3."
best_epoch_iou_barras.png,esencial,precision geometrica,alta,"Complementa success con solapamiento de rectangulos."
best_epoch_angle_barras.png,esencial,precision angular,alta,"Refuerza la lectura de geometria del grasp."
comparacion_modalidad_success.png,gancho_congreso,comparacion arquitectura/modalidad,alta,"Ayuda a contar RGB vs RGB-D y CNN ligera vs ResNet."
evolucion_val_success_todos.png,apoyo,dinamica de aprendizaje,media,"Util si se quiere mostrar evolucion por epoca."
evolucion_val_iou_todos.png,apoyo,dinamica de IoU,media,"Puede ir a suplemento por densidad visual."
evolucion_val_angle_todos.png,apoyo,dinamica angular,media,"Puede ir a suplemento por densidad visual."
best_epoch_loss_barras.png,apoyo,matiz de perdida de validacion,media,"Sirve para explicar que menor perdida no siempre equivale a mayor success."
curvas_loss_EXP3_RESNET18_RGB_AUGMENT.png,apoyo,estabilidad del mejor modelo,media,"Candidata si se necesita mostrar entrenamiento del modelo principal."
curvas_loss_EXP4_RESNET18_RGBD.png,apoyo,comparacion con segunda configuracion fuerte,media,"Util para contraste ResNet RGB-D."
curvas_loss_EXP1_SIMPLE_RGB.png,auditoria,curva individual de baseline,baja,"Mejor como suplemento."
curvas_loss_EXP2_SIMPLE_RGBD.png,auditoria,curva individual de baseline RGB-D,baja,"Mejor como suplemento."
curvas_loss_EXP1.1_SIMPLEGRASP_RGB.png,auxiliar,experimento auxiliar,baja,"No mezclar con resultados oficiales."
curvas_loss_EXP1.2_SIMPLEGRASP_RGBD.png,auxiliar,experimento auxiliar,baja,"No mezclar con resultados oficiales."
latencia_inferencia_log.png,eficiencia,aplicabilidad funcional,media,"Usar brevemente si se discuten eficiencia y despliegue."
tamano_modelo_parametros.png,eficiencia,trade-off de complejidad,media,"Complementa latencia."
delta_pre_post_retrain_success.png,auditoria,control de reproducibilidad,baja,"Solo incluir si se explica como control de trazabilidad."
